,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPD_total,LEPD_dX,LEPD_dY,index
0,65537,565280,527105,753851,513,88,0,71,0,0,0,0,0,4032,0,65535,65535,1023,2047,2047,65535
1,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
2,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
3,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
4,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
5,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
6,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
7,65537,565280,527105,753851,513,88,0,71,0,0,0,0,0,4032,0,65535,65535,1023,2047,2047,65535
8,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
9,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
10,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
11,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
12,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
13,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
14,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
15,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
16,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
17,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
18,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
19,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
20,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
21,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
22,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
23,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
24,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
25,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
26,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
27,1048575,1048575,1048575,1048575,65535,4095,4095,255,255,255,255,255,4095,4095,3,65535,65535,1023,2047,2047,65535
28,0,0,0,0,12288,5,5,0,0,0,0,10,0,0,0,24576,0,0,0,0,0
29,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,24576,0,4,0,0,0
30,524304,0,0,0,0,6,6,128,128,128,128,10,0,0,0,24576,0,8,0,0,0
31,786480,24,0,0,0,2055,7,128,128,128,128,10,0,0,0,24576,0,12,0,0,1024
32,802867,59,0,0,0,7,8,128,128,128,128,10,0,0,0,24576,0,16,0,0,44288
33,811063,63,1,0,0,7,8,128,128,128,128,10,0,0,0,24576,0,20,0,0,65280
34,843831,28735,524289,0,0,7,8,128,128,128,128,10,0,0,0,24576,0,24,0,0,65280
35,1040439,553023,851969,1,0,7,8,128,128,128,128,10,0,0,0,24576,0,28,0,0,65280
36,1040439,618559,851969,1,0,7,8,128,128,128,128,10,0,0,0,24576,0,32,0,0,65280
37,1044535,913471,983041,1,0,7,8,128,128,128,128,10,0,0,0,24576,0,36,0,0,65280
38,1044543,1044543,983073,4097,240,7,8,128,128,128,128,10,0,0,0,24576,0,40,0,6,65280
39,1044543,1044543,983073,4097,240,7,8,128,128,128,128,10,0,0,0,24576,0,44,0,6,65280
40,1044543,1044543,983073,4097,240,7,8,128,128,128,128,10,0,0,0,24576,0,48,0,6,65280
