,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPD_total,LEPD_dX,LEPD_dY,Index
0,0,0,0,0,0,800,800,352,356,352,352,360,10,0,0,106,106,0,0,0,0
1,0,0,0,0,0,1000,1000,352,356,352,352,360,10,0,0,106,106,0,0,0,1
2,0,0,0,0,0,1200,1200,352,356,352,352,360,10,0,0,106,106,0,0,0,2
3,0,0,0,0,0,1400,1400,352,356,352,352,364,10,0,0,106,106,0,0,0,3
4,0,0,0,0,0,1600,1600,352,356,352,352,364,10,0,0,106,106,0,0,0,4
5,0,0,0,0,0,1800,1800,352,356,352,352,364,10,0,0,106,106,0,0,0,5
6,0,0,0,0,0,2000,2000,352,356,352,352,364,10,0,0,106,106,0,0,0,6
7,0,0,0,0,0,2200,2200,356,356,352,352,360,10,0,0,106,106,0,0,0,7
8,0,0,0,0,0,2400,2400,356,356,352,352,360,10,0,0,106,106,0,0,0,8
9,0,0,0,0,0,2600,2600,356,356,352,352,360,10,0,0,106,106,0,0,0,9
10,0,0,0,0,0,2800,2800,356,356,352,352,360,10,0,0,106,106,0,0,0,10
11,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,11
12,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,12
13,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,13
14,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,14
15,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,15
16,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,16
17,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,17
18,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,18
19,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,19
20,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,20
21,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,21
22,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,22
23,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,23
24,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,24
25,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,25
26,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,26
27,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,27
28,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,28
29,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,29
30,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,30
31,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,31
32,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,32
33,0,0,0,0,0,2990,2990,356,356,352,352,364,10,0,0,106,106,0,0,0,33
34,0,0,0,0,0,2990,2990,352,356,352,352,364,10,0,0,106,106,0,0,0,34
35,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,35
36,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,36
37,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,37
38,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,38
39,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,39
40,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,40
41,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,41
42,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,42
43,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,43
44,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,44
45,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,45
46,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,46
47,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,47
48,0,0,0,0,0,2990,2990,356,356,352,352,360,10,0,0,106,106,0,0,0,48
84,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,49
85,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,50
86,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,51
87,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,52
88,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,53
89,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,54
90,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,55
98,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,56
99,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,57
100,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,58
101,0,0,0,0,0,2990,2990,352,356,352,352,360,10,0,0,106,106,0,0,0,59
112,0,0,0,0,0,2990,2990,352,356,352,352,360,20,0,0,106,106,3,0,0,60
113,0,0,0,0,0,2990,2990,352,356,352,352,360,30,0,0,106,106,3,0,0,61
114,0,0,0,0,0,2990,2990,352,356,352,352,360,40,0,0,106,106,3,0,0,62
115,0,0,0,0,0,2990,2990,352,356,352,352,360,50,0,0,106,106,3,0,0,63
116,0,0,0,0,0,2990,2990,352,356,352,352,360,60,0,0,106,106,3,0,0,64
117,0,0,0,0,0,2990,2990,352,356,352,352,360,70,0,0,106,106,3,0,0,65
118,0,0,0,0,0,2990,2990,352,356,352,352,360,80,0,0,106,106,3,0,0,66
126,0,0,0,0,0,2990,2990,352,356,352,352,360,90,0,0,106,106,3,0,0,67
127,0,0,0,0,0,2990,2990,352,356,352,352,360,100,0,0,106,106,3,0,0,68
128,0,0,0,0,0,2990,2990,352,356,352,352,360,110,0,0,106,106,3,0,0,69
129,0,0,0,0,0,2990,2990,352,356,352,352,360,120,0,0,106,106,3,0,0,70
130,0,0,0,0,0,2990,2990,352,356,352,356,360,130,0,0,106,106,3,0,0,71
131,0,0,0,0,0,2990,2990,352,356,352,356,360,140,0,0,106,106,3,0,0,72
132,0,0,0,0,0,2990,2990,352,356,352,356,360,150,0,0,106,106,3,0,0,73
140,0,0,0,0,0,2990,2990,352,356,352,356,360,160,0,0,106,106,3,0,0,74
141,0,0,0,0,0,2990,2990,352,356,352,352,360,170,0,0,106,106,3,0,0,75
142,0,0,0,0,0,2990,2990,352,356,352,352,360,180,0,0,106,106,3,0,0,76
143,0,0,0,0,0,2990,2990,352,356,352,352,360,190,0,0,106,106,3,0,0,77
144,0,0,0,0,0,2990,2990,352,356,352,352,360,200,0,0,106,106,3,0,0,78
145,0,0,0,0,0,2990,2990,352,356,352,352,360,210,0,0,106,106,3,0,0,79
146,0,0,0,0,0,2990,2990,352,356,352,352,360,220,0,0,106,106,3,0,0,80
154,0,0,0,0,0,2990,2990,352,356,352,352,360,230,0,0,106,106,3,0,0,81
155,0,0,0,0,0,2990,2990,352,356,352,352,360,240,0,0,106,106,3,0,0,82
156,0,0,0,0,0,2990,2990,352,356,352,352,360,250,0,0,106,106,3,0,0,83
157,0,0,0,0,0,2990,2990,352,356,352,352,360,260,0,0,106,106,3,0,0,84
158,0,0,0,0,0,2990,2990,352,356,352,352,360,270,0,0,106,106,3,0,0,85
159,0,0,0,0,0,2990,2990,352,356,352,352,360,280,0,0,106,106,3,0,0,86
160,0,0,0,0,0,2990,2990,352,356,352,352,360,290,0,0,106,106,3,0,0,87
168,0,0,0,0,0,2990,2990,352,356,352,352,360,300,0,0,106,106,3,0,0,88
169,0,0,0,0,0,2990,2990,352,356,352,352,360,310,0,0,106,106,3,0,0,89
170,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,90
171,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,91
172,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,92
173,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,93
174,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,94
182,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,95
183,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,96
184,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,97
185,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,98
186,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,99
187,0,0,0,0,0,2990,2990,352,356,352,352,360,311,0,0,106,106,3,0,0,100
188,0,0,0,0,0,2990,2990,352,356,352,352,360,311,4095,0,106,106,3,0,0,101
196,0,0,0,0,0,2990,2990,352,356,352,356,360,311,4095,0,106,111,3,0,0,102
197,0,0,0,0,0,2990,2990,356,356,352,356,364,311,4095,0,106,116,3,0,0,103
198,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,121,3,0,0,104
199,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,126,3,0,0,105
200,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,131,3,0,0,106
201,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,136,3,0,0,107
202,0,0,0,0,0,2990,2990,356,356,356,356,364,311,4095,0,106,141,3,0,0,108
