,APDTop1,APDTop2,APDBot1,APDBot2,Coincidence,APD_DAC1,APD_DAC2,T1,T2,T3,T4,T5,Laser_DAC,LCPR_cap_pf,LCPR_ref_i,LCPR_1,LCPR_2,LEPDc_0,LEPDc_1,LEPDc_2,LEPDc_3,Index
0,0,0,0,0,0,800,800,328,328,332,332,332,10,0,0,106,106,0,0,0,0,0
7,0,0,0,0,0,950,950,328,328,332,332,332,10,0,0,106,106,0,0,0,0,1
8,0,0,0,0,0,1100,1100,328,328,332,332,332,20,0,0,106,106,950,958,247,321,2
9,0,0,0,0,0,1250,1250,328,328,332,332,332,30,0,0,106,106,918,923,233,286,3
10,0,0,0,0,0,1400,1400,328,328,332,332,332,40,0,0,106,106,913,912,227,277,4
11,0,0,0,0,0,1550,1550,328,328,332,332,332,50,0,0,106,106,914,906,217,276,5
12,0,0,0,0,0,1700,1700,328,328,332,332,332,60,0,0,106,106,897,916,217,271,6
13,0,0,0,0,0,1850,1850,332,328,332,332,332,60,0,0,106,106,897,916,217,271,7
14,0,0,0,0,0,2000,2000,332,328,332,332,332,70,0,0,106,106,856,883,184,249,8
15,0,0,0,0,0,2150,2150,328,328,332,332,332,80,0,0,106,106,843,845,154,202,9
16,0,0,0,0,0,2300,2300,328,328,332,332,332,90,0,0,106,106,843,843,138,217,10
17,0,0,0,0,0,2450,2450,328,328,332,332,332,100,0,0,106,106,840,831,145,201,11
18,0,0,0,0,0,2600,2600,328,328,332,332,332,110,0,0,106,106,834,842,145,190,12
19,0,0,0,0,0,2750,2750,328,328,332,332,332,110,0,0,106,106,834,842,145,190,13
20,0,0,0,0,0,2900,2900,328,328,332,332,332,120,0,0,106,106,798,795,98,171,14
21,0,0,0,0,0,2990,2990,328,328,332,332,332,130,0,0,106,106,824,834,150,196,15
22,0,0,0,0,0,2990,2990,328,328,332,332,332,140,0,0,106,106,773,780,84,157,16
23,0,0,0,0,0,2990,2990,328,328,332,332,332,150,0,0,106,106,783,782,94,142,17
24,0,0,0,0,0,2990,2990,328,328,332,332,332,160,0,0,106,106,780,784,99,144,18
25,0,0,0,0,0,2990,2990,328,328,332,332,332,160,0,0,106,106,780,784,99,144,19
26,0,0,0,0,0,2990,2990,332,328,332,332,332,170,0,0,106,106,789,782,84,159,20
1792,0,0,0,0,0,800,800,328,328,332,332,332,10,0,0,106,106,0,0,0,0,0
1799,0,0,0,0,0,950,950,328,328,332,332,332,10,0,0,106,106,0,0,0,0,1
1800,0,0,0,0,0,1100,1100,328,328,332,332,332,20,0,0,106,106,950,958,247,321,2
1801,0,0,0,0,0,1250,1250,328,328,332,332,332,30,0,0,106,106,918,923,233,286,3
1802,0,0,0,0,0,1400,1400,328,328,332,332,332,40,0,0,106,106,913,912,227,277,4
1803,0,0,0,0,0,1550,1550,328,328,332,332,332,50,0,0,106,106,914,906,217,276,5
1804,0,0,0,0,0,1700,1700,328,328,332,332,332,60,0,0,106,106,897,916,217,271,6
1805,0,0,0,0,0,1850,1850,332,328,332,332,332,60,0,0,106,106,897,916,217,271,7
1806,0,0,0,0,0,2000,2000,332,328,332,332,332,70,0,0,106,106,856,883,184,249,8
1807,0,0,0,0,0,2150,2150,328,328,332,332,332,80,0,0,106,106,843,845,154,202,9
1808,0,0,0,0,0,2300,2300,328,328,332,332,332,90,0,0,106,106,843,843,138,217,10
1809,0,0,0,0,0,2450,2450,328,328,332,332,332,100,0,0,106,106,840,831,145,201,11
1810,0,0,0,0,0,2600,2600,328,328,332,332,332,110,0,0,106,106,834,842,145,190,12
1811,0,0,0,0,0,2750,2750,328,328,332,332,332,110,0,0,106,106,834,842,145,190,13
1812,0,0,0,0,0,2900,2900,328,328,332,332,332,120,0,0,106,106,798,795,98,171,14
1813,0,0,0,0,0,2990,2990,328,328,332,332,332,130,0,0,106,106,824,834,150,196,15
1814,0,0,0,0,0,2990,2990,328,328,332,332,332,140,0,0,106,106,773,780,84,157,16
1815,0,0,0,0,0,2990,2990,328,328,332,332,332,150,0,0,106,106,783,782,94,142,17
1816,0,0,0,0,0,2990,2990,328,328,332,332,332,160,0,0,106,106,780,784,99,144,18
1817,0,0,0,0,0,2990,2990,328,328,332,332,332,160,0,0,106,106,780,784,99,144,19
1818,0,0,0,0,0,2990,2990,332,328,332,332,332,170,0,0,106,106,789,782,84,159,20
